timestamp,e2e_latency_ms,fps
2026-02-12T05:58:33.538726,18.04,55.16
2026-02-12T05:58:33.573823,19.69,50.29
2026-02-12T05:58:33.648099,55.85,17.86
2026-02-12T05:58:33.677008,44.95,22.19
2026-02-12T05:58:33.705197,42.21,23.57
2026-02-12T05:58:33.730394,45.51,21.93
2026-02-12T05:58:33.746726,27.96,35.64
2026-02-12T05:58:33.839473,86.66,11.50
2026-02-12T05:58:33.968288,149.62,6.68
2026-02-12T05:58:33.997767,33.94,29.36
2026-02-12T05:58:34.043252,50.10,19.91
2026-02-12T05:58:34.079478,54.30,18.38
2026-02-12T05:58:34.101320,48.18,20.71
2026-02-12T05:58:34.118305,29.16,34.18
2026-02-12T05:58:34.137125,16.64,59.73
2026-02-12T05:58:34.185211,31.65,31.50
2026-02-12T05:58:34.209975,22.97,43.34
2026-02-12T05:58:34.247400,28.19,35.35
2026-02-12T05:58:58.474000,1027.72,0.97
2026-02-12T05:58:58.501944,78.53,12.71
2026-02-12T05:58:58.518703,32.50,30.65
2026-02-12T05:58:58.543888,17.18,57.89
2026-02-12T05:58:58.668586,85.15,11.73
2026-02-12T05:58:58.687823,58.85,16.97
2026-02-12T05:58:58.705845,23.79,41.83
2026-02-12T05:58:58.728498,20.88,47.66
2026-02-12T05:58:58.746572,21.27,46.82
2026-02-12T05:58:58.762083,19.72,50.51
2026-02-12T05:58:58.776649,22.34,44.62
2026-02-12T05:58:58.790880,18.07,55.08
2026-02-12T05:58:58.821623,17.18,57.53
2026-02-12T05:58:58.859337,16.43,60.49
2026-02-12T05:58:58.885486,16.73,59.50
2026-02-12T05:58:58.931569,26.45,37.67
2026-02-12T05:58:58.958856,21.91,45.46
2026-02-12T05:58:58.993140,17.77,55.98
2026-02-12T05:58:59.019553,19.98,49.81
2026-02-12T05:58:59.056121,23.36,42.60
2026-02-12T05:58:59.096365,19.28,51.65
2026-02-12T05:58:59.124350,22.17,44.89
2026-02-12T05:58:59.192726,59.16,16.88
2026-02-12T05:58:59.221102,53.52,18.65
2026-02-12T05:58:59.263224,60.10,16.61
2026-02-12T05:58:59.285837,49.52,20.16
2026-02-12T05:58:59.302158,25.99,38.36
2026-02-12T05:58:59.323266,19.48,51.03
2026-02-12T05:58:59.388229,19.52,50.83
2026-02-12T05:58:59.407285,36.24,27.52
2026-02-12T05:58:59.424458,21.47,46.34
2026-02-12T05:58:59.461379,20.98,47.43
2026-02-12T05:58:59.491473,21.20,46.95
2026-02-12T05:58:59.538755,28.09,35.41
2026-02-12T05:58:59.557809,20.80,47.86
2026-02-12T05:58:59.590212,17.97,55.25
2026-02-12T05:58:59.623228,16.77,59.24
2026-02-12T05:58:59.659411,18.69,53.24
2026-02-12T05:58:59.694865,19.70,50.52
2026-02-12T05:58:59.726982,17.24,57.66
2026-02-12T05:58:59.768596,19.23,51.76
2026-02-12T05:58:59.807132,21.61,46.09
2026-02-12T05:58:59.830401,18.59,53.46
2026-02-12T05:58:59.865579,19.43,51.24
2026-02-12T05:58:59.901833,21.34,46.68
2026-02-12T05:58:59.945742,30.93,32.13
2026-02-12T05:58:59.979170,27.43,36.33
2026-02-12T05:59:00.001527,20.72,48.05
2026-02-12T05:59:00.035928,22.33,44.58
2026-02-12T05:59:00.072104,22.97,43.33
2026-02-12T05:59:00.099124,18.87,52.71
2026-02-12T05:59:00.135216,20.98,47.42
2026-02-12T05:59:00.167696,21.03,47.32
2026-02-12T05:59:00.207248,21.23,46.88
2026-02-12T05:59:00.249855,30.45,32.71
2026-02-12T05:59:00.272087,21.24,46.86
2026-02-12T05:59:00.300680,18.36,54.23
2026-02-12T05:59:00.335834,22.37,44.48
2026-02-12T05:59:00.370584,22.41,44.43
2026-02-12T05:59:00.409952,21.94,45.39
2026-02-12T05:59:00.434640,19.60,50.74
2026-02-12T05:59:00.470404,22.04,45.18
2026-02-12T05:59:00.512572,27.47,36.27
2026-02-12T05:59:00.532646,17.27,57.59
2026-02-12T05:59:00.566586,19.60,50.76
2026-02-12T05:59:00.601688,19.28,51.62
2026-02-12T05:59:00.635535,20.33,48.98
2026-02-12T05:59:00.669773,23.83,41.73
2026-02-12T05:59:00.707532,25.97,38.33
2026-02-12T05:59:00.796342,71.93,13.88
2026-02-12T05:59:00.818930,36.58,27.25
2026-02-12T05:59:00.837769,19.01,52.28
2026-02-12T05:59:00.866179,19.75,50.38
2026-02-12T05:59:00.913162,24.28,40.98
2026-02-12T05:59:00.936873,18.98,52.41
2026-02-12T05:59:00.968959,22.25,44.72
2026-02-12T05:59:01.002034,19.83,50.11
